Year	Location	State	Entry	Grainyield	Testweight	Plantheight
2007	DU	SD	ND05/1-2	55.5509333	59.4501333	92
2007	DU	SD	NDSW0601	53.0909333	57.2866	81.3333333
2007	DU	SD	NDSW0481	52.5497333	58.1332	88.3333333
2007	DU	SD	06MSP18	52.1970667	59.5442	77
2007	DU	SD	MN03119-4	51.3442667	60.1086	80.3333333
2007	DU	SD	CA905-776	49.9994667	56.5340667	80
2007	DU	SD	Verde	49.722349	58.4588519	78
2007	DU	SD	MT0415	48.2324	58.4154	86
2007	DU	SD	MN03308-4	47.7362667	60.0145333	85.3333333
2007	DU	SD	CA905-750	47.3549333	60.1086	80.6666667
2007	DU	SD	NDSW0449	46.5637333	58.9798	92
2007	DU	SD	BW873	44.4276	57.6628667	88.3333333
2007	DU	SD	CA905-749	43.0172	59.0738667	78
2007	DU	SD	06MSP3	42.7834667	59.0738667	70
2007	DU	SD	WA008013	39.3917885	59.7323333	104.666667
2007	DU	SD	2375	38.294	58.5094667	84.6666667
2007	DU	SD	ES95	36.8836	55.5934	100
2007	DU	SD	Keene	35.9365333	58.2272667	97.6666667
2007	DU	SD	BW357	33.8824	57.9450667	97
2007	DU	SD	BW362	32.7138667	58.5094667	98
2007	DU	SD	MT0516	25.9776	53.4298667	79.6666667
2007	DU	SD	Chris	22.8205333	58.0391333	102
2007	DU	SD	BZ903-513W	19.5652	52.207	81
2007	DU	SD	Marquis	16.482	55.6874667	94.3333333
2007	BAU	ND	SD3942	67	61.7	86
2007	BAU	ND	MN03196	65.5	61.5	84
2007	BAU	ND	00S0292-14	64.1	60.9	78
2007	BAU	ND	ND04/3-21	63.8	63	90
2007	BAU	ND	ND05/1-2	61	59.9	100
2007	BAU	ND	SD3956	60.6	61.7	91
2007	BAU	ND	SD3944	60.1	61.5	94
2007	BAU	ND	SD3943	59.9	61	89
2007	BAU	ND	ND04/3-20	58.8	60.7	99
2007	BAU	ND	NDSW0481	58.6	62.5	95
2007	BAU	ND	SD3948	58.2	61.5	92
2007	BAU	ND	06MSP3	57.6	59	78
2007	BAU	ND	MN02255	56.2	61.2	84
2007	BAU	ND	WA008013	55.6	61	102
2007	BAU	ND	2375	54.6	59.7	88
2007	BAU	ND	CA905-776	53.6	58	87
2007	BAU	ND	NDSW0449	52.8	61	95
2007	BAU	ND	06MSP18	50	59.7	85
2007	BAU	ND	NDSW0430	49.7	61.5	86
2007	BAU	ND	ND05/1-1	49.6	60.4	95
2007	BAU	ND	01S0042-10	48.8	60.3	80
2007	BAU	ND	ND05/1-3	47.8	56.7	93
2007	BAU	ND	MT0516	47.2	58.2	89
2007	BAU	ND	BW873	45.2	59.9	101
2007	BAU	ND	CA905-749	45	61	84
2007	BAU	ND	CA905-750	44.5	61.3	89
2007	BAU	ND	BZ903-513W	43.3	60.1	89
2007	BAU	ND	00S0291-3	43.2	59.1	83
2007	BAU	ND	BW357	42.8	61.9	102
2007	BAU	ND	NDSW0601	42.6	58.2	84
2007	BAU	ND	MN03308-4	41.5	59.8	91
2007	BAU	ND	MN03358-4	40.7	59.9	86
2007	BAU	ND	Keene	39.6	61.6	100
2007	BAU	ND	00S021-29-4	38.7	61.9	88
2007	BAU	ND	Verde	38.1	60.4	80
2007	BAU	ND	MT0415	37.9	57.9	92
2007	BAU	ND	Chris	37.4	59.6	101
2007	BAU	ND	BW362	36.2	60.1	101
2007	BAU	ND	MN03119-4	35.2	61.6	88
2007	BAU	ND	ES95	30.3	61.7	103
2007	BAU	ND	Marquis	28.4	58.3	102
2007	Nilphamari	ND	00S0211-29-4	74.5	59.3	92
2007	Nilphamari	ND	SD3944	74.4	60	96.7
2007	Nilphamari	ND	06MSP18	73.9	60.4	97
2007	Nilphamari	ND	SD3943	72.5	59.9	89
2007	Nilphamari	ND	00S0291-3	69.9	59.1	103.3
2007	Nilphamari	ND	SD3942	69.5	60.4	84.7
2007	Nilphamari	ND	MN02255	69.3	59.4	92
2007	Nilphamari	ND	MN03358-4	68.6	59.1	91.7
2007	Nilphamari	ND	01S0042-10	68.3	59.4	87.7
2007	Nilphamari	ND	ND05/1-1	68.3	60.6	96.7
2007	Nilphamari	ND	00S0292-14	68.2	59.5	92.3
2007	Nilphamari	ND	06MSP3	67.8	58.2	89
2007	Nilphamari	ND	CA905-749	66.3	61.7	98
2007	Nilphamari	ND	CA905-776	66	58.4	99
2007	Nilphamari	ND	ND05/1-2	66	60.2	107
2007	Nilphamari	ND	ND04/3-20	65.7	59.3	108.3
2007	Nilphamari	ND	MN03308-4	64.4	61	98
2007	Nilphamari	ND	CA905-750	64.1	61.3	100.3
2007	Nilphamari	ND	ND05/1-3	64.1	58.2	97.3
2007	Nilphamari	ND	Verde	63.9	58.6	100.7
2007	Nilphamari	ND	NDSW0601	63.7	58	99.7
2007	Nilphamari	ND	MN03119-4	63.4	59.8	94
2007	Nilphamari	ND	SD3948	63.2	59.8	94.3
2007	Nilphamari	ND	MN03196	62.9	60	92.7
2007	Nilphamari	ND	SD3956	61.4	59.8	92
2007	Nilphamari	ND	NDSW0449	60.9	60.7	103.3
2007	Nilphamari	ND	NDSW0481	60.4	58.6	95.3
2007	Nilphamari	ND	NDSW0430	60.3	58.2	94.7
2007	Nilphamari	ND	MT0415	59.9	59.5	100.3
2007	Nilphamari	ND	BW873	59.7	59.1	99.7
2007	Nilphamari	ND	ND04/3-21	59.3	59.5	91
2007	Nilphamari	ND	2375	57.8	58.7	88.7
2007	Nilphamari	ND	Keene	56.9	60.2	112.3
2007	Nilphamari	ND	BW362	54	59.4	103
2007	Nilphamari	ND	WA008013	54	58.9	102
2007	Nilphamari	ND	BW357	52.5	58.2	100.3
2007	Nilphamari	ND	ES95	52.1	56.1	112
2007	Nilphamari	ND	MT0516	45.5	55.3	102.3
2007	Nilphamari	ND	BZ903-513W	37.9	55.4	99.3
2007	Nilphamari	ND	Marquis	30.5	58.9	116.3
2007	Nilphamari	ND	Chris	29.6	57.2	112
2007	Kishorganj	ND	ND04/3-20	61.64	61.6308333	95.83333335
2007	Kishorganj	ND	01S0042-10	60.3583333	62.9961933	75.00000011
2007	Kishorganj	ND	MN02255	59.34	62.6453717	84.16666657
2007	Kishorganj	ND	NDSW0481	57.0616667	62.0006183	84.99999993
2007	Kishorganj	ND	ND05/1-3	56.9683333	61.3748283	85.83333329
2007	Kishorganj	ND	00S0211-29-4	56.8733333	62.1902517	77.49999994
2007	Kishorganj	ND	MN03308-4	56.095	62.3324767	80.83333338
2007	Kishorganj	ND	00S0291-3	55.7966667	62.06699	80.83333338
2007	Kishorganj	ND	NDSW0430	55.69	63.2237533	84.99999993
2007	Kishorganj	ND	MN03358-4	54.3283333	62.29455	79.16666666
2007	Kishorganj	ND	MN03119-4	53.905	62.0859533	81.66666674
2007	Kishorganj	ND	ND04/3-21	53.89	63.062565	80.00000002
2007	Kishorganj	ND	MN03196	53.3033333	63.3944233	80.00000002
2007	Kishorganj	ND	SD3944	52.5966667	62.436775	91.66666655
2007	Kishorganj	ND	2375	52.475	62.3324767	85.83333329
2007	Kishorganj	ND	Verde	52.4383333	61.2800117	81.66666674
2007	Kishorganj	ND	SD3942	52.36	63.26168	82.5000001
2007	Kishorganj	ND	ND05/1-2	51.8783333	62.1902517	94.16666663
2007	Kishorganj	ND	CA905-776	51.3783333	59.9241333	80.83333338
2007	Kishorganj	ND	CA905-749	50.925	64.1529567	82.5000001
2007	Kishorganj	ND	SD3956	50.6383333	63.3090883	84.99999993
